src,alt,caption
assets/img/1.jpg,Zeichnung,"Instaprofil renateobilici, von Lunte gemalt."
assets/img/2.jpg,Sexy Renade,Sexy Renade!
assets/img/3.jpg,Chillen,"Chillen beim Nachbarschaftsflohmarkt, im Masch-Kurier hat Renade auch geschrieben."
assets/img/4.jpg,Kochcrew,"Beim IDK Camp letztes Jahr, im Küchenteam."
assets/img/5.jpg,Gedicht,"Gedicht ""Renade"""
assets/img/6.jpg,Andenken,Gedenktisch im ThOP.
assets/img/7.jpg,Premiere im ThOP,Premiere im ThOP; “Lady Windermeres Fächer” – Renade war Regieassistenz und Miss Cauper-Cauper.
assets/img/8.jpg,Renade in Aktion im ThOP,Renade in Aktion im ThOP
assets/img/9.jpg,Renade in Aktion im ThOP,Renade in Aktion im ThOP; Eagle bei “Kündigung 3.0”.
assets/img/10.jpg,Renade vor dem Weltladen,Renade vor dem Weltladen – sie liebte Kaffee!
assets/img/11.jpg,Renade,"Renade beim BoatPeopleProject ""Tief im Westen""."
assets/img/12.jpg,Renade in Aktion im ThOP,Renade in Aktion im ThOP
assets/img/13.jpg,Renade,"""Customer of the Year"" von SMILES Eis."
assets/img/14.jpg,Renade in Aktion im ThOP,Renade in Aktion im ThOP
assets/img/15.jpg,Renade in Aktion im ThOP,Renade in Aktion im ThOP
assets/img/16.jpg,Renade in Aktion im ThOP,Renade in Aktion im ThOP
assets/img/17.jpg,Solidarität mit Kuchenstreik,Renade im Kuchenstreik – “für mehr Kuchendiversität!”
assets/img/18.jpg,Erinnerungen an der OM10,Erinnerungen
assets/img/19.jpg,Erinnerungen,Erinnerungen
assets/img/20.jpg,Renade bei der Baustelle an der OM10…,Renade bei der Baustelle an der OM10…
assets/img/21.jpg,…Seit dem ersten Tag war Renade dabei…,…Seit dem ersten Tag dabei am unterstützen…
assets/img/22.jpg,…und unterstützte wo es gebraucht wurde…bei Wände errichten... ,…egal wo es gebraucht wurde…bei Wände errichten... 
assets/img/23.jpg,...Toiletten putzen…,...Toiletten putzen…
assets/img/25.jpg,...Beton gießen…,...Beton gießen…
assets/img/26.jpg,"...und natürlich, Kochen!…","...und natürlich, Kochen!…"
assets/img/27.jpg,"…hmmm, lecker, lecker!…","…hmmm, lecker, lecker!…"
assets/img/28.jpg,Erinnerungen,Erinnerungen
assets/img/29.jpg,Erinnerungen,Erinnerungen
assets/img/30.jpg,Graffiti von R. am JuZi – “für immer Renade”,"Graffiti von R. am JuZi – “rest in power, Renade”"
assets/img/31.jpg,"Graffiti von R. am JuZi – “rest in power, Renade”",Graffiti von R. am JuZi – “für immer Renade”
